"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48537,677,"","Bronze chisel ","TA.OC.36-37.030","T.A. 36. 37  ","","Cairo ","Palace Central W. of Axis v 30 043 22","","https://www.flickr.com/photos/25459876@N04/18238423113","Michael George Adams; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48538,433,"Palace N.W. Building","A poor silly sort of object","TA.OC.36-37.031","31","None given","None given","T.A. 36-37; 9.5 x 7.5","","https://www.flickr.com/photos/25459876@N04/18671353040","Michael George Adams; Joellen mcGann; Denis Antoine"
48538,580,"Palace - Central - W. of Axis","A poor silly sort of object","TA.OC.36-37.031","31","","","","","https://www.flickr.com/photos/25459876@N04/18671353040","Michael George Adams; Joellen mcGann; Denis Antoine"
48538,677,"","A poor silly sort of object","TA.OC.36-37.031","T.A. 36. 37. ","","","Palace Central W. of Axis 31 7.5 9.5 ","","https://www.flickr.com/photos/25459876@N04/18671353040","Michael George Adams; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48539,433,"Palace - Central, W. of Axis","Limestone trial piece","TA.OC.36-37.032","32","0.2","None given","T.A. 36-37; 14 x 15; red ink; carved","","https://www.flickr.com/photos/25459876@N04/18671352460","JP OConnor; Joellen mcGann; Denis Antoine"
48539,580,"Palace - Central - W. of Axis","Limestone trial piece","TA.OC.36-37.032","32","0.2","","","","https://www.flickr.com/photos/25459876@N04/18671352460","JP OConnor; Joellen mcGann; Denis Antoine"
48539,817,"TA.36.37","Limestone trial piece","TA.OC.36-37.032","O 2 32","","","Palace Central W. of Axis","","https://www.flickr.com/photos/25459876@N04/18671352460","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48540,433,"Palace - Central, West","Limestone trial piece","TA.OC.36-37.033","33","0.1","Cairo","T.A. 36-37; 11.5 x 12; Red","","https://www.flickr.com/photos/25459876@N04/18861789611","Michael George Adams; Joellen mcGann; Denis Antoine"
48540,580,"Palace - Central - West","Limestone trial piece","TA.OC.36-37.033","33","0.1","Cairo","","","https://www.flickr.com/photos/25459876@N04/18861789611","Michael George Adams; Joellen mcGann; Denis Antoine"
48540,677,"","Limestone trial piece. ","TA.OC.36-37.033","T.A. 36. 37","","Cairo","Palace - Central West. 0.1 V 33 RED. 12. 11.5 ","","https://www.flickr.com/photos/25459876@N04/18861789611","Michael George Adams; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48541,433,"Palace - Central, West","Limestone relief","TA.OC.36-37.034","34","0.8","Cairo","T.A. 36-37; 24 x 23","","https://www.flickr.com/photos/25459876@N04/18671351070","JP OConnor; Joellen mcGann; Denis Antoine"
48541,580,"Palace - Central West","Limestone relief","TA.OC.36-37.034","34","0.8","Cairo","","","https://www.flickr.com/photos/25459876@N04/18671351070","JP OConnor; Joellen mcGann; Denis Antoine"
48541,817,"TA.36.37","LImestone relief","TA.OC.36-37.034","O 8 34","","Cairo","Palace-Central West","","https://www.flickr.com/photos/25459876@N04/18671351070","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48542,433,"Palace - North End","Faience Tile Fragments","TA.OC.36-37.035","35","None given","? Cairo","T.A. 36-37; A: green, space for Daisy; B: Green; C: Space for Daisy; Full Size","","https://www.flickr.com/photos/25459876@N04/18859037465","JP OConnor; Joellen mcGann; Denis Antoine"
48542,580,"Palace - North End","Faïence tile fragments","TA.OC.36-37.035","35","","? Cairo","","","https://www.flickr.com/photos/25459876@N04/18859037465","JP OConnor; Joellen mcGann; Denis Antoine"
48542,817,"TA.36.37","Faïence Tile fragments","TA.OC.36-37.035","35","","? Cairo","Palace - North End","","https://www.flickr.com/photos/25459876@N04/18859037465","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48543,433,"Palace - North End","Sandstone Wig","TA.OC.36-37.036","36","0.29","None given","T.A. 36-37; 10 x 10","","https://www.flickr.com/photos/25459876@N04/18832783706","JP OConnor; Joellen mcGann; Denis Antoine"
